lwage,yrs_school,ttl_exp,black
2.462927,12,10.33333,1
1.856449,12,13.62179,1
1.612777,12,17.73077,1
2.200974,17,13.21154,0
2.089854,12,17.82051,0
1.532477,12,7.326923,0
2.350531,12,19.04487,0
2.845265,18,15.55769,0
2.57137,14,14.25,0
2.047121,15,7.384615,0
2.82111,16,15.76923,0
2.739748,15,16.38461,0
1.655079,15,7.75,0
2.318559,15,14.21154,0
2.268184,15,15.85897,0
2.203645,15,15.01282,0
2.085862,15,15.34616,0
2.406495,14,16.46795,0
2.259815,14,17.75,0
1.430455,12,15.9359,0
2.281429,16,8.839744,0
3.348382,18,16.20513,0
2.320934,12,17.25,0
1.115643,18,5.544872,0
1.260325,12,8.737179,0
1.766927,15,5.557693,0
3.576036,16,9.423077,0
1.488025,12,10.26923,0
1.615858,12,10.39744,0
1.754576,12,12.84615,0
1.631732,10,7.365385,0
3.225279,15,10.38461,0
1.482555,12,7.384615,0
1.549718,13,11.48077,0
2.085862,15,11.03846,0
2.817749,13,16.08333,0
1.744779,12,10.5,0
2.009313,12,9.442307,0
1.915963,14,14.44231,0
2.525729,11,14.5,1
2.87341,12,16.32692,0
2.491327,14,5.717949,0
2.241385,11,6.192307,0
2.578115,17,16.26923,0
2.403588,18,9.833333,0
1.320144,17,8.948718,0
1.392715,16,8.788462,0
2.382999,12,17.41667,1
1.469676,8,7.544871,1
1.549718,12,6.660256,0
2.274828,12,20.69872,1
1.06421,6,7.320513,0
2.309006,12,19.75,1
2.142242,12,19.03205,0
2.139402,12,14.23077,0
1.722831,12,6.153846,0
1.441505,12,12.26282,0
1.726326,10,10.24359,0
1.535949,12,6.128205,0
2.739748,17,9.833333,1
1.575037,9,8.5,1
3.693819,14,12.91026,0
2.739748,18,15.11538,0
2.305924,15,7.076923,0
1.287354,10,14.32692,0
2.229962,12,7.666667,0
2.324091,18,13.67308,0
2.303389,11,17.39744,0
1.441505,14,10.60256,0
1.575037,13,16.98077,0
2.047121,17,11.30128,0
2.287169,16,14.83333,0
2.385967,15,17.83333,0
1.169571,12,11.50641,1
2.099765,12,12.84615,1
2.134652,12,17.1218,0
2.115421,12,13.78846,0
2.269849,12,13.26923,0
1.511386,12,12.80128,0
1.207312,14,11.55128,0
2.134652,11,19.00641,0
1.79818,10,5.596154,1
2.334283,14,10.33333,0
2.451893,18,13.26923,1
1.612777,11,15.64103,1
1.862719,10,16.90385,0
1.615858,16,15.85256,0
1.575037,12,10.11538,0
2.404316,13,16.85897,0
2.118329,16,9.256411,0
2.57137,16,15.91667,0
1.727757,13,10.78846,0
2.530548,16,16.69231,0
1.899532,16,7.692307,0
1.729187,15,18.78846,0
1.392715,16,4.980769,0
2.894122,16,10.58974,0
1.758746,16,13.92308,0
3.205257,18,9.480769,0
1.976047,17,12.09615,0
1.546294,12,15.30128,0
2.541386,18,17.49359,0
2.258133,13,16.26923,0
1.823198,15,9.846154,0
2.03877,18,9.064103,0
2.283072,12,16.30769,0
1.392715,14,24.75,1
2.451893,16,11.65385,1
1.940836,12,10.8718,0
1.449095,12,5.365384,0
1.506043,14,14.57692,0
2.22214,14,11.01923,0
1.19913,16,7.653846,0
2.085862,16,16.44872,0
1.631732,11,11.33333,0
1.267936,12,9.019231,0
.0049396,10,7.480769,0
1.990452,12,16.16667,0
2.291656,16,15.55769,0
1.77252,13,10.10256,0
1.581681,12,5.519231,0
1.029977,12,19.13461,0
1.115744,12,7.596154,0
1.729187,12,15.60897,0
2.175702,12,15.23077,0
3.14608,16,12.07051,0
2.503255,16,12.15385,1
2.562716,18,14.90385,0
2.759316,16,15.80769,0
1.940836,14,16.83333,0
1.479015,12,13.83333,0
2.411284,18,14.17308,0
2.268184,15,9.653846,0
3.39203,16,14.88461,0
1.502465,12,8.346154,0
1.900459,14,12.09615,0
1.766927,12,7.365385,0
1.528993,12,16.11539,0
1.392715,9,3.852564,0
2.499956,14,19.07692,1
1.558229,16,16.11539,1
2.085862,15,13.39744,1
2.0079,9,10.90385,1
2.142242,16,13.76923,1
1.980502,14,9.019231,0
2.482622,14,17.60256,1
2.175702,12,10.19872,0
2.404316,14,17.09615,0
2.269849,14,16.51923,1
1.264881,13,14.36539,0
1.486205,12,7.128205,0
1.990452,16,10.40385,0
2.085862,12,24.47436,0
2.382999,14,15.05769,0
3.656079,12,15.24359,0
2.292063,12,11.60256,0
2.337398,13,8.083333,0
2.442837,12,17.50641,0
3.170713,16,13.5641,0
2.021857,13,21.73718,0
2.074801,12,21.32693,0
1.575037,13,7.134616,0
1.698727,14,1.75,0
2.085862,8,8.865385,0
1.878838,16,16.36539,0
1.181994,14,13.71154,0
1.575037,13,12.94231,0
2.129879,16,11.40385,0
2.805164,16,16.76923,0
1.820593,12,13.58974,0
1.746185,12,10.5,0
1.837401,12,13.19872,0
.0317383,18,9.307693,0
1.784757,14,12.00641,0
2.320934,14,11.9359,0
1.707525,16,15.10897,0
1.755968,15,9.269231,0
1.207312,12,7.839744,0
1.837401,12,8.5,0
.5440826,11,12.58974,0
1.248933,12,12.45513,0
1.291193,12,8.807693,0
.9862493,12,1.128205,0
2.047121,13,5.852564,0
2.434404,16,15.97436,0
1.951187,12,9.217949,0
1.895911,13,13.27564,0
1.115744,12,6.916667,0
2.060544,12,18.25,0
2.09779,11,13.28846,0
1.980502,9,1.923077,0
1.729187,13,10.91667,0
2.402131,12,14.1859,0
2.453279,16,9.211538,0
2.154455,14,8.807693,0
2.42074,14,17.67308,0
1.656616,10,5.775641,0
2.219518,13,10.96154,0
1.325095,12,7.038462,0
3.576036,14,9.557693,0
1.766927,8,19.19231,0
1.13112,13,6.903846,0
1.97939,14,17.46154,0
1.912698,11,15.44872,0
1.050224,12,7.275641,0
1.13135,12,10.35256,0
1.884968,12,5.897436,0
2.115421,12,14.5,0
1.615858,12,5.75641,0
1.287354,17,11.78846,0
2.404595,18,15.69231,1
1.894761,12,12.57692,1
2.516345,16,8.01282,0
1.980502,12,14.28846,0
2.151649,16,13.66667,0
2.553363,12,18.48077,0
1.412291,10,5.288462,0
2.334283,16,15.05769,0
1.796846,14,18.58333,0
3.656079,12,8.423077,0
2.018653,12,9.166667,0
1.271676,12,13.40385,0
1.918626,12,16.92949,0
1.847605,12,12.46154,0
1.775252,7,5.923077,0
1.695778,14,9.576923,0
1.665791,12,21.75,0
1.98319,12,10.07692,0
.4356018,16,11.82692,0
1.724892,16,11.02564,0
1.267936,12,10.16026,0
1.239563,9,7.730769,0
3.114409,13,16.98077,0
1.488025,6,3.346154,0
1.563986,12,9.423077,0
1.837401,12,17.01923,0
2.268184,16,14.07692,0
2.532469,12,16.36539,0
1.430455,12,6.416667,1
2.125082,12,8.121795,1
3.034426,16,11.46154,1
2.07783,14,7.967948,0
.9243098,11,6.173077,0
2.403588,12,14.44872,0
2.269849,12,17.12179,0
2.186612,16,4.25,0
1.437688,12,11.61539,0
1.430455,12,2.807692,0
.608475,16,17.19872,0
2.162343,16,9.301282,0
2.309006,12,9.557693,0
2.480603,12,20.34615,0
2.991294,17,14.75,0
2.071763,16,4.75,0
2.309006,12,9.583333,0
2.017583,12,9.692307,0
.9996723,12,3.339744,1
2.91179,18,12.08974,0
2.541386,15,14.01923,0
2.266703,17,13.42949,0
2.714471,16,18.76923,0
2.045641,14,11.25,0
2.632346,13,11.3141,0
1.729187,10,7.326923,0
2.275656,17,10.58333,0
2.320143,18,2.615385,0
1.287354,12,6.365385,0
2.309006,8,14.92308,0
2.269849,16,20.33333,0
1.655079,12,11.78846,0
1.823198,12,11.01282,1
2.547707,17,10.55128,0
2.451893,12,11.71154,0
1.471526,9,6.538462,0
1.860215,15,7.544872,0
2.008981,15,12.40385,0
2.790937,12,14.76923,0
1.615858,12,8.410256,0
1.486544,12,7.685897,0
3.693819,14,11.72436,0
1.736305,14,11.72436,0
2.203645,14,15.48077,0
2.085862,16,11.34615,0
2.764403,18,9.788462,0
2.81196,12,19.1859,0
1.325095,10,1.474359,1
1.73794,11,2.942308,1
1.207312,12,7.025642,0
2.013291,13,14.00641,0
2.320934,12,18.87179,0
1.90314,12,14.20513,0
.8032166,12,17.5,0
1.46224,16,16.59615,0
2.302585,17,13.00641,0
2.585424,12,14.19231,0
2.233419,12,19.59615,0
2.483967,12,17.00641,0
1.609438,12,15.19231,0
1.169571,12,5.115385,0
2.903437,18,18.73077,0
2.585424,13,18.71795,1
2.455354,13,17.55128,1
2.180263,15,8.596154,1
2.09779,11,15.3782,1
1.655079,12,12.98718,1
3.002153,12,13.26923,0
1.566668,18,18.83333,0
2.346686,18,14.30128,0
2.293689,16,13.74359,0
2.309006,18,13.59615,0
3.107593,16,14.15385,0
2.309006,16,15.07692,0
2.142242,18,12.87179,0
2.172393,14,13.78846,0
2.287169,10,9.057693,0
1.430455,13,8.75,0
2.451893,10,15.32692,1
1.479245,12,9.448719,0
2.258133,11,8.532051,0
2.423762,12,19.35897,1
1.788802,12,11.16026,0
2.072776,12,12.94231,0
1.881294,12,11.04487,0
2.309006,12,21.96795,0
2.739748,14,14.58333,0
1.92528,16,8.282052,1
1.441505,11,5.25,1
1.79818,12,13.33333,0
1.862719,10,14.08333,0
2.62177,18,18.75,0
2.346686,12,14.48077,0
2.739748,14,18.01923,0
1.881531,11,14.21795,0
1.612777,12,14.55769,0
1.823198,12,19.60256,0
1.825795,12,13.62179,0
1.230196,12,8.326922,0
2.309006,12,19.75,0
2.547707,12,19.28205,0
1.900459,12,11.63461,0
1.655079,12,12.44231,0
1.181994,7,5.826923,0
1.018748,12,17.22436,0
2.031405,12,16.34615,0
3.669461,12,15.67308,1
1.729187,12,18.14744,1
1.655079,12,8.801282,0
2.385226,14,18.33974,0
2.628767,16,21.83333,0
1.575037,8,8.942307,0
1.535949,10,6.358974,0
2.028292,16,15.94231,0
1.544577,12,6.49359,0
1.707525,12,9.269231,0
1.887411,14,15.84615,0
2.299359,12,13.58974,0
2.362736,17,7.948718,0
1.952331,12,14.25641,0
1.940836,12,11.28846,0
1.169571,13,5.153846,0
1.168778,12,7.019231,0
1.698727,12,13.87821,0
1.078004,10,10.28846,0
2.111529,16,16.33333,0
1.211193,12,10.73077,0
1.653599,12,9.660256,0
.9922369,12,7.282052,0
1.094309,13,4.846154,0
1.273931,12,6.307693,0
2.795374,18,17.83333,0
2.585424,16,14.16667,0
1.751578,16,3.826923,0
3.432896,18,9.826923,0
1.628577,12,10.55128,0
2.783499,18,15.12821,0
2.264008,16,10.52564,0
1.194264,12,11.19231,0
2.451893,18,17.45513,0
1.851405,12,18.07051,0
2.049198,13,20.08333,0
2.422334,18,15.08974,0
1.758746,13,15.85897,0
2.565197,16,14.46795,0
1.892277,11,20.34615,0
1.392715,12,15.92308,0
1.819289,12,9.615385,0
2.209544,17,16.96795,0
2.064179,14,13.28846,0
1.422273,13,5.442307,0
1.862719,9,15.28205,0
1.615858,11,8.75,0
1.823198,12,12.92308,0
1.661214,12,4.403846,0
1.9466,10,5.596154,0
1.211193,12,12.32692,0
1.287354,12,14.84615,0
2.304375,14,15.03846,0
1.952331,13,15.76923,0
2.212495,13,15.03846,0
1.929208,13,15.42949,0
1.114024,7,5.980769,0
1.980502,12,18.13461,0
2.346686,12,13.84615,0
3.432935,13,12.51923,0
2.451893,17,15.83333,0
2.442837,18,10.35897,0
1.615858,10,9.153846,0
1.13135,16,11.69872,0
2.268184,14,12.55769,0
1.561483,12,12.39103,0
.6205243,18,17.63461,0
1.655079,13,15.07692,0
2.158183,12,10.79487,0
1.029977,12,5.48718,0
2.234282,16,18.15385,0
1.952331,14,17.26923,0
2.443536,15,20.20513,0
2.641469,15,20.80128,0
2.501036,12,4.134615,0
1.9362,18,9.923077,0
1.781112,12,4.769231,0
1.79818,10,6.839744,0
1.479245,12,11.19231,0
1.952331,14,19.91667,0
1.623827,12,11.78205,0
2.484638,18,10.04487,0
2.659662,14,18.60897,0
1.392715,13,12.61539,0
2.146957,13,13.84615,0
1.615858,12,8.301282,0
1.615858,16,11.61539,0
1.952331,13,17.1859,0
1.488724,12,1.916667,0
1.207312,12,7.326923,1
2.394816,14,16.76923,1
2.349763,12,15.66667,1
3.328286,14,15.35256,1
1.729187,12,16.69231,0
2.459492,16,14.19231,0
1.819791,16,16.49359,0
2.418039,18,16.17949,1
1.729187,12,12.88461,1
1.923343,12,17.16667,0
2.280606,16,13,0
3.288354,8,3.621795,0
1.615858,12,14.66667,1
2.922243,15,20.00641,0
2.760845,16,12.71154,0
2.269849,11,10.75641,0
2.400673,14,13.82692,0
1.13135,17,11.57692,0
1.923343,12,15.07692,0
2.516345,17,16.17308,0
2.194716,12,13.38461,0
1.814053,12,20.33333,0
2.922243,16,14.34615,0
1.764279,16,3.416667,0
1.981611,17,13.28846,0
1.169571,12,18.21154,0
2.125082,14,10.16026,0
1.992951,12,11.36539,0
1.940836,16,11.80769,0
1.615858,13,14.27564,0
1.79818,12,14.13462,0
.9862493,14,6.634615,0
2.457426,14,19.41667,0
1.574325,12,16.8782,0
2.40867,12,14.77564,0
2.269849,15,19.5,1
1.525496,12,9.666667,1
2.894122,14,16.66026,0
1.729187,12,12.55769,0
1.90314,16,16.75,0
2.123158,16,14.69231,0
1.211193,12,12.89102,1
2.346686,13,14.10897,0
1.615858,12,10.78846,0
1.612777,12,16.91667,0
1.488025,12,5.865385,0
.8445333,12,11.37821,0
1.450984,16,13.86539,0
1.910317,16,18.37821,1
2.137505,12,19.11538,1
2.962996,12,20.38461,0
1.430455,12,4.653846,0
2.107623,12,16.27564,0
1.525765,12,8.141026,0
1.488025,14,4.788462,0
2.047121,18,19.39743,0
1.940836,12,16.71154,0
2.714471,12,20.11539,1
1.612777,10,9.435898,0
2.589662,12,17.26282,0
2.070748,12,12.13461,0
1.941991,13,15.33974,1
1.952331,0,15.91667,1
1.169571,10,2.416667,1
1.771151,11,12.03205,0
1.559923,12,16.41667,0
1.737722,10,5.211538,1
2.471124,12,15.42308,0
2.095812,13,26.53846,1
2.491327,14,9.333333,1
1.83097,12,9.826922,1
2.070748,13,13.53846,1
1.260325,11,7.865385,1
1.392715,12,7.307692,0
3.470675,18,13.35897,1
2.005736,12,14.80769,0
1.823198,14,8.147436,0
1.915963,12,14,1
2.348226,13,12.60256,1
3.250574,12,19.15385,0
1.392715,16,7.307693,0
1.055843,12,5.615385,1
1.488025,12,6.730769,0
2.714471,12,20.30769,0
1.923343,13,12.98077,1
1.873905,15,2.570513,0
1.623827,12,9.576923,0
1.575037,11,3.282051,0
1.471526,15,9.557693,1
2.566204,16,5.942307,1
2.269849,14,9.692307,0
1.923343,13,7.038462,0
1.727706,16,14.28846,0
2.864728,18,14.36539,0
2.383742,18,10.69231,0
1.940836,17,11.34615,1
2.25476,12,20.83333,1
2.143405,12,6.25,0
1.253453,12,8.692307,0
1.689852,14,19.21154,1
2.029291,12,16.78846,1
2.001392,12,16.98077,0
1.325095,12,6.788462,0
1.169571,12,1.314103,0
2.146957,12,16.48077,1
1.994842,13,16.51923,1
1.230196,12,8.378205,1
2.404316,17,17.41667,1
1.743372,11,12.26923,1
2.160041,18,16.91667,0
2.372024,16,12.41026,0
1.392715,12,8.955129,1
1.706064,15,9.615385,0
1.362255,16,12.90385,0
2.547707,18,10.07692,0
1.392715,12,2.519231,0
2.0079,14,11,0
1.431935,12,8.326923,0
1.940836,12,10.98077,0
2.085862,12,13.88461,0
1.766927,12,4.576923,0
3.134204,12,11.17949,0
2.199191,14,7.596154,1
2.229096,15,15.83333,1
2.334283,12,12.14103,0
2.834917,17,17.88461,0
1.169571,14,5.26282,0
2.634561,16,17.15385,0
1.207312,12,14.33974,0
1.392715,15,13.66667,0
2.186612,15,11.28846,0
2.181172,14,10.5,0
2.545796,11,14.14103,1
1.69282,12,13.21795,1
2.315385,12,16.44231,1
2.080849,11,15.34615,1
2.422334,12,21,1
1.169571,12,5.173077,0
1.824497,15,12.95513,0
1.325095,11,4.442307,0
1.115744,11,5.807693,0
2.251376,18,15.90385,0
2.788464,18,18.83333,0
2.438629,17,15.61539,1
2.679188,16,12.9359,1
1.169571,12,16.08974,0
2.269849,16,11.69231,0
1.779337,12,8.814103,0
2.176616,12,17.40385,1
1.575037,12,5.185898,0
1.521987,12,10.6218,0
2.967033,18,15.63462,0
1.099209,11,2.429487,0
2.186612,15,13.69872,0
1.449095,16,7.705128,0
2.565197,18,8.711538,0
1.729187,13,15.92308,0
1.298404,12,7.538462,0
3.656079,12,10.08974,0
2.160041,16,15.55769,1
1.846335,12,15.01282,0
1.430455,12,16.84615,0
2.085862,18,11.44231,0
2.461555,17,15.0641,0
2.047121,18,13.82051,1
1.207312,8,5.653846,0
1.892277,16,14.85256,0
3.027431,16,19.05128,0
1.630155,12,9.942307,0
2.788464,17,13.90385,0
1.564986,12,13.53846,0
2.577504,18,16.01923,0
2.485547,12,14.40385,0
2.085862,12,16.13461,0
1.591566,12,13.51923,0
1.029977,12,11.92949,0
2.142242,16,18.03846,0
1.664267,13,6.628205,0
2.324091,18,14.28846,0
2.392611,17,14.5641,0
1.829678,16,4.403846,0
1.525765,16,8.576923,0
2.475198,12,18.42308,0
1.69282,12,5.230769,0
1.862719,12,15.87821,0
1.484713,12,7.769231,0
1.194264,11,2.121795,0
1.791491,13,17.13461,0
2.415525,10,6.634615,0
.8340982,10,4.076923,0
2.218913,12,14.05769,0
1.478892,12,14.91667,0
2.346686,18,7.064102,0
1.486205,16,11.03846,0
1.724892,12,13.86539,0
1.586636,12,13,0
1.90434,12,17.48718,0
2.054371,14,11.07692,0
1.828386,14,16.44231,0
1.90314,18,13.4359,0
1.817982,16,12.57692,0
2.516345,13,15.19231,0
1.392715,14,11.1282,1
1.574325,12,16.48077,0
1.189373,15,6.23077,1
3.656079,14,12.53846,1
1.766927,12,4.461538,0
2.714471,18,14.16667,1
1.892277,17,16.17308,1
1.548238,12,7.583333,1
1.392715,13,10.08333,0
1.834833,14,8.942307,0
2.019722,14,14.98077,0
1.688365,12,20.59615,0
1.223112,12,7.564103,0
2.516345,16,18.42949,0
1.287354,11,15.19872,0
1.311504,7,3.910256,0
1.309333,12,7.038462,0
2.085862,14,16.34615,0
1.541135,12,8.782051,0
1.207312,12,3.391026,0
1.9466,15,10.42308,0
1.558229,12,10.13462,0
.9129636,12,9.288462,0
1.196699,16,14.03846,0
1.514932,12,9.615385,0
2.373294,16,10.57692,0
1.806148,16,8.570513,0
1.382664,12,15.92308,0
1.900459,12,7.980769,0
1.207312,12,12.13461,0
1.441505,13,10.61538,0
1.169571,12,8.070513,0
1.441505,12,9.76282,0
1.353974,13,7.647436,0
1.115744,16,10.98077,0
2.237724,16,18.26923,0
1.313671,12,10.69231,0
.9771992,12,11.28846,0
1.382664,12,6.923077,0
2.186612,16,14.82692,0
2.593606,16,16.03846,0
1.050224,11,2.673077,0
1.677315,15,12.66026,0
2.275656,12,16.07051,0
2.324091,16,16.83333,0
2.636869,13,19.55128,0
1.913887,12,19.66667,0
2.562716,17,16.32051,0
3.027431,17,13.46795,0
2.312997,14,16.0641,0
1.207312,9,1.326923,0
1.883746,12,15.17308,0
1.575037,12,10.82692,0
2.901227,17,11.80769,0
1.862719,14,8.692307,0
1.612777,12,9.192307,0
1.029977,12,13.75,0
1.207312,12,12.11539,0
1.777977,12,18.73077,0
1.623827,12,8.756411,0
1.13112,12,14.44872,0
1.655079,11,10.15385,0
1.029977,12,6.576923,0
1.584986,13,12.96154,0
1.967078,9,11.46154,0
2.151649,18,14.83333,0
1.298404,13,8.826923,0
1.79818,8,6.346154,0
1.748909,14,13.17308,0
1.900459,16,14.97436,0
2.47858,14,18.25,0
1.506043,13,17.35897,0
2.503255,18,17.67308,0
2.739748,16,19.44231,0
1.341422,15,11.88462,0
1.03604,12,6.532051,0
1.558229,12,15.55769,0
1.27618,12,14.91026,0
1.287354,12,13.46154,0
2.123602,18,15.37821,0
2.133699,12,16.82692,0
2.871588,12,18.23077,0
2.123158,16,20.33333,0
1.658151,12,4.480769,0
1.929208,12,4.935897,0
1.575037,14,7.121795,0
2.349763,16,12.94231,0
1.729187,12,11.19231,0
1.994842,12,12.53846,0
1.662742,12,8.27564,0
2.195923,16,11.76923,0
1.589924,17,13.91667,0
1.332965,12,7.884615,0
1.392715,18,16.63461,0
2.411562,12,13.03846,0
1.541135,12,12.21154,0
1.105033,17,6.160257,0
2.516345,14,20.83333,0
1.768408,12,17.90385,0
3.693819,15,15.71154,0
2.606439,11,16.58333,0
2.363494,12,19.83333,0
1.736305,16,14.75,0
2.472484,12,20.39103,0
2.269849,14,14.51923,1
1.441505,11,15.64744,1
1.566668,12,7.717948,0
1.553131,12,7.826923,0
1.021651,12,5.352564,0
